ShowStart
,title,url,date,location,price,artists,images
25,10月31日 2021安阳航空音乐节,https://www.showstart.com/event/164313,时间：2021/10/31 13:00,[安阳]安阳航空运动学校,¥398起,艺人：反光镜乐队/岛屿心情/葡萄不愤怒乐队/满舒克（YoungJack）/朴树/贰佰/NINEONE#（乃万）,https://s2.showstart.com/img/2021/1005/10/30/88be6987961f4bd0afd6ba5058d31b91_1200_1600_3066802.0x0.png
26,10月31日 2021舟山东海音乐节,https://www.showstart.com/event/164247,时间：2021/10/31 14:00,[舟山]舟山群岛新区 • 朱家尖南沙,¥280起,艺人：与人乐队/Casino Demon赌鬼乐队/皇后皮箱/续弦/CSBQ乐队/莫宰羊/AgainstAll对尖/香蕉皮/PRP声音系统,https://s2.showstart.com/img/2021/1002/16/00/c52dd5da25764f5a9ef610e5d338af70_1200_1600_2046880.0x0.png
27,10月31日 2021日照山河音乐节,https://www.showstart.com/event/163279,时间：2021/10/31 14:30,[日照]日照白鹭湾美术馆小镇·白鹭牧场,¥260起,艺人：逃跑计划/九宝乐队Nine Treasures/麻园诗人/赵雷/霓虹花园/隔壁老樊,https://s2.showstart.com/img/2021/0924/18/30/4bc50e309ba54c60827d3c3b38146acf_1200_1600_1422644.0x0.png
28,10月31日  2021青秀·绿野音乐节,https://www.showstart.com/event/164541,时间：2021/10/31 14:30,[南宁]南宁国际会展中心,¥288起,艺人：万能青年旅店/霜冻前夜/棱镜/海鸥乐队/帆布小镇,https://s2.showstart.com/img/2021/1008/20/00/bc63cb50b91f496e9c434d7049a8df2b_1200_1600_1743501.0x0.png
29,10月16日 无锡荡口民谣音乐节,https://www.showstart.com/event/161647,时间：2021/10/16 14:30,[无锡]无锡荡口古镇,¥280起,艺人：岛屿心情/晓月老板/老狼/马融/陈鸿宇/家雀儿乐队/黑屋乐队,https://s2.showstart.com/img/2021/0916/12/30/8282acdcae3e4264bd37c15dd4bae27e_1200_1600_3014728.0x0.png
30,10月17日 无锡荡口民谣音乐节,https://www.showstart.com/event/161648,时间：2021/10/17 14:30,[无锡]无锡荡口古镇,¥280起,艺人：周云蓬/何大河/朴树/房东的猫/NoSleep Child 失眠少年/散养溜达猴/狮童乐队,https://s2.showstart.com/img/2021/0916/12/30/21e27ce4bd9548e5913e49f4879881f7_1200_1600_3013861.0x0.png
31,11月6日 2021西太湖国际音乐节,https://www.showstart.com/event/161833,时间：2021/11/06 14:00,[常州]西太湖中国花卉博览园北门,¥259起,艺人：汪苏泷/回春丹乐队/焦迈奇/气运联盟/午睡留声机/水果星球/银河系乐团/李保森,https://s2.showstart.com/img/2021/0914/13/00/0103abe3909f48c891f73114aa906c17_1200_1600_850634.0x0.png
32,11月7日 2021西太湖国际音乐节,https://www.showstart.com/event/161796,时间：2021/11/07 14:00,[常州]西太湖中国花卉博览园北门,¥259起,艺人：C-BLOCK/艾福杰尼/VAVA/姜云升/半仙/邓典果/Subs张毅成/JoZ张哲瑜/Bonetrap,https://s2.showstart.com/img/2021/0914/13/00/0103abe3909f48c891f73114aa906c17_1200_1600_850634.0x0.png
33,南京欢乐谷蓝鲸音乐节【JONY J 10月16日】,https://www.showstart.com/event/162893,时间：2021/10/16 20:00,[南京]南京欢乐谷,¥240,艺人：JONY J,https://s2.showstart.com/img/2021/0923/13/00/e1af213395fc4ea6848ef25f9b6ae53e_1200_1600_1880385.0x0.png
34,南京欢乐谷蓝鲸音乐节【姚琛 10月17日】,https://www.showstart.com/event/162894,时间：2021/10/17 20:00,[南京]南京欢乐谷,¥240,艺人：姚琛,https://s2.showstart.com/img/2021/0923/13/30/c0ace0a27b4f464890249b601ac89655_1200_1600_1798842.0x0.png
35,南京欢乐谷蓝鲸音乐节【BOY STORY 10月24日】,https://www.showstart.com/event/162902,时间：2021/10/24 20:00,[南京]南京欢乐谷,¥240,艺人：BOY STORY,https://s2.showstart.com/img/2021/0923/14/00/1b46d54ad7734859af51dda361ea6b6f_1200_1600_2339030.0x0.png
36,「玄音重型音乐节Vol.03」国核梦幻阵容空降成都！,https://www.showstart.com/event/153929,时间：2021/11/13 20:00,[成都]正火艺术中心6号馆,¥180起,艺人：The Will On Kill (TWOK)/利维坦 Leviathan/Diffusion扩散乐队/因可INCHAOS/萬象Cosmos,https://s2.showstart.com/img/2021/0823/13/30/f58e06a80fe64a79a0256eb13c838f05_1200_1600_2224611.0x0.png
37,【第20届西安国际音乐节】特别策划——「100万帧」独立音乐现场,https://www.showstart.com/event/163320,时间：2021/12/04 20:00,[西安]陕西大剧院·戏剧厅,¥180起,艺人：秘密行动乐队/录耳LUR:/法兰克福头盔&膨胀螺丝,https://s2.showstart.com/img/2021/0930/16/30/aa921ace2b38452f9f03caf8ef560cc5_1200_1600_828132.0x0.png
38,南京欢乐谷蓝鲸音乐节【高天佐 TroubleZ 10月15日】,https://www.showstart.com/event/162885,时间：2021/10/15 20:00,[南京]南京欢乐谷,¥240,艺人：高天佐Trouble.Z,https://s2.showstart.com/img/2021/0923/11/30/6a4a789d9eb74d689c2ba15812e16b60_1200_1600_1830237.0x0.png
39,南京欢乐谷蓝鲸音乐节【海龟先生 10月23日】,https://www.showstart.com/event/162895,时间：2021/10/23 20:00,[南京]南京欢乐谷,¥240,艺人：海龟先生,https://s2.showstart.com/img/2021/0923/13/30/cc2c1fe4e3bf4b3b92a85d109520a070_1200_1600_2118039.0x0.png
40,毁灭！！野兽危险#2 敲击硬核室内音乐节,https://www.showstart.com/event/153569,时间：2021/12/04 20:00,[上海]育音堂（凯旋店）,¥130起,艺人：扩音器/skullcrusher碎颅者/反复攻击小明/Bob Blockhead Quartet/尼浊累/Chimera Cult/平头呆脑四重奏,https://s2.showstart.com/img/2021/0608/12/30/c531ddb522c949149160d17955d1a9bf_1200_1600_1107879.0x0.png
41,马思唯 10月15日  万圣电音节（天津欢乐谷）,https://www.showstart.com/event/163469,时间：2021/10/15 19:30,[天津]天津欢乐谷,¥178,艺人：马思唯,https://s2.showstart.com/img/2021/0927/15/00/1afcebcdcbc64ddc999ba9859cd57c5e_1200_1600_1934034.0x0.png
